species
Aix sponsa
Anas acuta
Anas americana
Anas clypeata
Anas crecca
Anas cyanoptera
Anas discors
Anas penelope
Anas platyrhynchos
Anas strepera
Aythya affinis
Aythya americana
Aythya collaris
Aythya marila
Aythya valisineria
Bucephala albeola
Bucephala clangula
Branta canadensis
Anser albifrons
Chen caerulescens
Chen rossii
Cygnus columbianus
Lophodytes cucullatus
Mergus merganser
Oxyura jamaicensis
Alectoris chukar
Meleagris gallopavo
Phasianus colchicus
Callipepla californica
Colinus virginianus
Oreortyx pictus
Gavia immer
Podiceps auritus
Tejon Ranch Conservancy
Aechmophorus clarkii
Aechmophorus occidentalis
Podiceps nigricollis
Podilymbus podiceps
Pelecanus erythrorhynchos
Phalacrocorax auritus
Botaurus lentiginosus
Ardea alba
Ardea herodias
Bubulcus ibis
Egretta thula
Nycticorax nycticorax
Plegadis chihi
Cathartes aura
Gymnogyps californianus
Accipiter cooperii
Accipiter gentilis
Accipiter striatus
Aquila chrysaetos
Buteo jamaicensis
Buteo lagopus
Buteo lineatus
Buteo regalis
Buteo swainsoni
Circus cyaneus
Elanus leucurus
Haliaeetus leucocephalus
Pandion haliaetus
Falco columbarius
Falco mexicanus
Falco peregrinus anatum
Falco sparverius
Fulica americana
Gallinula chloropus
Porzana Carolina
Rallus limicola
Charadrius montanus
Charadrius semipalmatus
Charadrius vociferus
Himantopus mexicanus
Recurvirostra american
Actitis macularia
Calidris alpina
Calidris mauri
Calidris minutilla
Gallinago delicata
Limnodromus scolopaceus
Numenius americanus
Numenius phaeopus
Phalaropus lobatus
Phalaropus tricolor
Tringa melanoleuca
Tringa solitaria
Hydroprogne caspia
Larus californicus
Larus delawarensis
Larus occidentalis
Larus philadelphia
Sterna forsteri
Chlidonias niger
Columba livia
Patagioenas fasciata
Streptopelia decaocto
Zenaida macroura
Geococcyx californianus
Coccyzus americanus
Tyto alba
Asio flammeus
Asio otus
Aegolius acadicus
Athene cunicularia
Otus flammeolus
Bubo virginianus
Glaucidium gnoma
Megascops kennicottii
Strix occidentalis occidentalis
Phalaenoptilus nuttallii
Chordeiles acutipennis
Chordeiles minor
Aeronautes saxatalis
Aeronautes vauxi
Archilochus alexandri
Calypte anna
Calypte costae
Selasphorus rufus
Stellula calliope
Megaceryle alcyon
Colaptes auratus
Melanerpes formicivorus
Melanerpes lewis
Picoides nuttallii
Picoides pubescens
Picoides scalaris
Picoides albolarvatus
Picoides villosus
Sphyrapicus ruber
Sphyrapicus nuchalis
Contopus cooperi
Contopus sordidulus
Empidonax difficilis
Empidonax hammondii
Empidonax oberholseri
Empidonax traillii
Empidonax wrightii
Myiarchus cinerascens
Pyrocephalus rubinus
Sayornis nigricans
Sayornis phoebe
Sayornis saya
Tyrannus verticalis
Tyrannus vociferans
Lanius ludovicianus
Vireo cassinii
Vireo gilvus
Vireo bellii
Vireo huttoni
Vireo plumbeus
Aphelocoma californica
Corvus brachyrhynchos
Corvus corax
Cyanocitta stelleri
Gymnorhinus cyanocephalus
Eremophila alpestris
Hirundo rustica
Petrochelidon pyrrhonota
Progne subis
Stelgidopteryx serripennis
Tachycineta bicolor
Tachycineta thalassina
Baeolophus inornatus
Poecile gambeli
Psaltriparus minimus
Sitta carolinensis
Sitta canadensis
Sitta pygmaea
Certhia americana
Campylorhynchus brunneicapillus
Catherpes mexicanus
Cistothorus palustris
Salpinctes obsoletus
Thryomanes bewickii
Troglodytes aedon
Regulus calendula
Regulus satrapa
Polioptila caerulea
Hylocichla mustelina
Catharus guttatus
Catharus ustulatus
Ixoreus naevius
Myadestes townsendii
Sialia currucoides
Sialia mexicana
Turdus migratorius
Chamaea fasciata
Mimus polyglottos
Toxostoma lecontei
Toxostoma redivivum
Oreoscoptes montanus
Sturnus vulgaris
Anthus rubescens
Bombycilla cedrorum
Phainopepla nitens
Setophaga coronata - auduboni group
Setophaga coronata - coronata group
Setophaga nigrescens
Setophaga occidentalis
Setophaga magnolia
Setophaga petechia brewsteri
Setophaga townsendi
Geothlypis trichas
Mniotilta varia
Geothlypis tolmiei
Oreothlypis celata
Oreothlypis ruficapilla
Cardellina pusilla
Piranga ludoviciana
Piranga rubra
Aimophila ruficeps
Amphispiza belli
Amphispiza bilineata
Spizella atrogularis
Chondestes grammacus
Junco hyemalis
Melospiza georgiana
Melospiza lincolnii
Melospiza melodia
Passerculus sandwichensis
Passerella iliaca
Pipilo chlorurus
Pipilo crissalis
Pipilo maculatus
Pooecetes gramineus
Spizella breweri
Spizella passerina
Zonotrichia atricapilla
Zonotrichia albicollis
Zonotrichia leucophrys
Passerina amoena
Passerina cyanea
Passerina caerulea
Pheucticus ludovicianus
Pheucticus melanocephalus
Agelaius phoeniceus
Agelaius tricolor
Euphagus cyanocephalus
Icterus bullockii
Icterus cucullatus
Icterus parisorum
Molothrus ater
Quiscalus mexicanus
Sturnella neglecta
Xanthocephalus xanthocephalus
Carduelis lawrencei
Carduelis pinus
Carduelis psaltria
Carduelis tristis
Carpodacus mexicanus
Carpodacus purpureus
Passer domesticus
