species
Black-bellied slender
Batrachoseps nigriventris
Batrachoseps stebbinsi
Ensatina eschscholtzii croceater
Bufo boreas
Spea hammondii
Pseudacris regilla
Rana catesbeiana
Actinemys marmorata
Gambelia sila
Gambelia wislizenii
Phrynosoma blainvillii
Phrynosoma platyrhinos calidiarum
Sceloporus graciosus gracilis
Sceloporus magister
Sceloporus occidentalis
Uta stansburiana
Callisaurus draconoides
Xantusia vigilis vigilis
Plestiodon gilberti
Plestiodon skiltonianus
Aspidoscelis tigris
Elgaria multicarinata
Anniella pulchra
Leptotyphlops humilis
Charina bottae
Arizona elegans
Coluber constrictor
Diadophis punctatus
Hypsiglena ochrorhyncha
Lampropeltis getula californiae
Lampropeltis zonata
Masticophis flagellum piceus
Masticophis flagellum ruddockii
Masticophis lateralis
Pituophis catenifer catenifer
Pituophis catenifer deserticola
Rhinocheilus lecontei
Salvadora hexalepis
Tantilla hobartsmithi
Thamnophis couchii
Thamnophis sirtalis
Crotalus oreganus
Crotalus scutulatus
