species
Didelphis virginiana
Antrozous pallidus
Corynorhinus townsendii
Eptesicus fuscus
Euderma maculatum
Lasionycteris noctivagans
Lasiurus cinereus
Myotis californicus
Myotis ciliolabrum
Myotis evotis
Myotis yumanensis
Pipistrellus hesperus
Tadarida brasiliensis
Lepus californicus
Sylvilagus audubonii
Sylvilagus bachmani
Ammospermophilus leucurus
Ammospermophilus nelsoni
Sciurus griseu
Spermophilus beecheyi
Tamias merriami
Thomomys bottae
Chaetodipus californicus
Dipodomys agilis
Dipodomys heermanni
Dipodomys panamintinus
Perognathus alticolus inexpectatus
Perognathus longimembris
Microtus californicus
Mus musculu
Neotoma macrotis
Neotoma bryanti
Onychomys torridus
Peromyscus boyli
Peromyscus californicus
Peromyscus maniculatus
Peromyscus truei
Peromyscus boylii
Reithrodontomys megalotis
Canis latrans
Urocyon cinereoargenteus
Vulpes macrotis mutica
Vulpes vulpes
Ursus americanus
Procyon lotor
Bassariscus astutus
Mustela frenata
Taxidea taxus
Mephitis mephitis
Spilogale gracilis
Lynx rufus
Puma concolor
Sus scrofa
Cervus canadensis nelsoni
Odocoileus hemionus californicus
Antilocapra americana americana
