species
Sambucus nigra subsp. caerulea
Apocynum cannabinum
Chlorogalum pomeridianum var. pomeridianum
Hesperoyucca whipplei
Yucca brevifolia
Allium burlewii
Allium fimbriatum var. fimbriatum
Allium howellii var. howellii
Allium lacunosum var. davisiae
Allium peninsulare var. peninsulare
Hydrocotyle ranunculoides
Amaranthus albus
Amaranthus blitoides
Washingtonia filifera
Rhus aromatica
Toxicodendron diversilobum
Acourtia microcephala
Apiastrum angustifolium
Apium graveolens
Berula erecta
Bowlesia incana
Cicuta douglasii
Conium maculatum
Daucus pusillus
Foeniculum vulgare
Lomatium californicum
Lomatium dasycarpum subsp. dasycarpum
Lomatium dasycarpum subsp. tomentosum
Lomatium dissectum var. multifidum
Lomatium mohavense
Lomatium nevadense
Lomatium utriculatum
Osmorhiza brachypoda
Perideridia pringlei
Sanicula bipinnata
Sanicula bipinnatifida
Sanicula crassicaulis
Sanicula graveolens
Sanicula tuberosa
Tauschia hartwegii
Tauschia parishii
Torilis arvensis
Torilis nodosa
Yabea microcarpa
Chaenactis glabriuscula var. heterocarpha
Chaenactis glabriuscula var. megacephala
Chaenactis santolinoides
Chaenactis stevioides
Chaenactis xantiana
Cirsium occidentale var. californicum
Cirsium occidentale var. venustum
Cirsium scariosum
Cirsium vulgare
Corethrogyne filaginifolia
Cotula coronopifolia
Crepis acuminata
Crepis occidentalis subsp. pumila
Deinandra pallida
Eastwoodia elegans
Encelia actoni
Ericameria cooperi var. cooperi
Ericameria linearifolia
Ericameria linearifolia X Ericameria cooperi
Ericameria nauseosa var. ceruminosa
Ericameria nauseosa var. hololeuca
Ericameria nauseosa var. mohavensis
Erigeron canadensis
Erigeron foliosus var. foliosus
Eriophyllum ambiguum var. ambiguum
Eriophyllum ambiguum var. paleaceum
Eriophyllum confertiflorum var. confertiflorum
Eriophyllum lanatum var. hallii
Eriophyllum pringlei
Euthamia occidentalis
Grindelia camporum
Gutierrezia californica
Gutierrezia sarothrae
Helenium bigelovii
Helenium puberulum
Helianthella californica var. nevadensis
Helianthus annuus
Helianthus gracilentus
Hemizonella minima
Heterotheca grandiflora
Heterotheca sessiliflora subsp. echioides
Heterotheca villosa var. minor
Holocarpha heermannii
Hulsea heterochroma
Hypochaeris glabra
Isocoma acradenia var. bracteosa
Iva axillaris
Lactuca saligna
Lactuca serriola
Laennecia coulteri
Lagophylla ramosissima
Lasthenia gracilis
Lasthenia microglossa
Layia glandulosa
Layia leucopappa
Layia pentachaeta subsp. albida
Layia pentachaeta subsp. pentachaeta
Tragopogon dubius
Uropappus lindleyi
Xanthium spinosum
Xanthium strumarium
Azolla filiculoides
Berberis aquifolium var. dictyota
Amsinckia douglasiana
Amsinckia eastwoodiae
Amsinckia intermedia
Amsinckia menziesii
Amsinckia retrorsa
Amsinckia tessellata var. gloriosa
Amsinckia tessellata var. tessellata
Amsinckia vernicosa
Cryptantha barbigera var. barbigera
Cryptantha circumscissa var. circumscissa
Cryptantha echinella
Cryptantha flaccida
Cryptantha micrantha var. lepida
Cryptantha microstachys
Cryptantha mohavensis
Cryptantha muricata var. muricata
Cryptantha nevadensis var. rigida
Cryptantha oxygona
Cryptantha pterocarya var. pterocarya
Cryptantha simulans
Cryptantha sparsiflora
Emmenanthe penduliflora var. penduliflora
Eriodictyon crassifolium
Eriodictyon parryi
Eriodictyon trichocalyx var. trichocalyx
Eucrypta chrysanthemifolia var. chrysanthemifolia
Heliotropium curassavicum var. oculatum
Hydrophyllum occidentale
Nama californicum
Nama demissum var. demissum
Nemophila menziesii var. menziesii
Nemophila parviflora var. quercifolia
Nemophila pedunculata
Nemophila pulchella var. fremontii
Nemophila pulchella var. pulchella
Nemophila spatulata
Pectocarya anisocarpa
Pectocarya linearis subsp. ferocula
Pectocarya penicillata
Pectocarya setosa
Phacelia cicutaria var. cicutaria
Phacelia ciliata
Phacelia congdonii
Phacelia curvipes
Phacelia davidsonii
Sisymbrium orientale
Streptanthus cordatus var. cordatus
Thysanocarpus curvipes subsp. curvipes
Thysanocarpus laciniatus
Tropidocarpum gracile
Turritis glabra
Cylindropuntia echinocarpa
Opuntia basilaris var. basilaris
Opuntia basilaris var. treleasei
Callitriche sp.
Githopsis diffusa subsp. robusta
Githopsis specularioides
Githopsis tenella
Gnaphalium palustre
Nemacladus sigmoideus
Celtis reticulata
Lonicera interrupta
Lonicera subspicata var. denudata
Symphoricarpos albus var. laevigatus
Symphoricarpos mollis
Symphoricarpos rotundifolius var. parishii
Cerastium glomeratum
Eremogone macradenia var. arcuifolia
Herniaria hirsuta var. cinerea
Loeflingia squarrosa
Minuartia californica
Minuartia douglasii
Minuartia pusilla
Pseudostellaria jamesiana
Silene gallica
Silene laciniata subsp. californica
Silene verecunda
Spergularia bocconi
Spergularia marina
Stellaria media
Stellaria nitens
Allenrolfea occidentalis
Atriplex argentea var. expansa
Atriplex canescens var. canescens
Atriplex coronata
Atriplex polycarpa
