Reserve,Taxon,Family,Scientific Name,Accepted Name,Common Name
Angelo Coast Range Reserve,Amphibian,Ambystomatidae,Ambystoma gracile,,Northwestern Salamander 
Angelo Coast Range Reserve,Amphibian,Plethodontidae,Aneides ferreus,,Clouded salamander
Angelo Coast Range Reserve,Amphibian,Plethodontidae,Aneides flavipunctatus,,Black salamander
Angelo Coast Range Reserve,Amphibian,Plethodontidae,Aneides vagrans,,Wandering Salamander
Angelo Coast Range Reserve,Amphibian,Ascaphidae,Ascaphus truei,,Tailed frog
Angelo Coast Range Reserve,Amphibian,Plethodontidae,Bactrachoseps attenuatus,,California slender salamander
Angelo Coast Range Reserve,Amphibian,Bufonidae,Bufo boreas,,Western toad
Angelo Coast Range Reserve,Amphibian,Dicamptodontidae,Dicamptodon ensatus,,Pacific giant salamander
Angelo Coast Range Reserve,Amphibian,Plethodontidae,Ensatina eschsholtzi,,"Ensatina, Ensatina eschscholtzii"
Angelo Coast Range Reserve,Amphibian,Hylidae,Pseudacris regilla,,"Pacific Tree frog, Pacific Chorus Frog"
Angelo Coast Range Reserve,Amphibian,Ranidae,Rana boylei,,Foothill yellow-legged frog
Angelo Coast Range Reserve,Amphibian,Ranidae,Rana catesbiana,,"Bullfrog, American Bullfrog"
Angelo Coast Range Reserve,Amphibian,Rhyacotritonidae,Rhyacotriton olympicus,,Olympic salamander
Angelo Coast Range Reserve,Amphibian,Rhyacotritonidae,Rhyacotriton variegatus,,Southern Torrent Salamander
Angelo Coast Range Reserve,Amphibian,Salamandridae,Taricha granulose,,Rough skinned newt
Angelo Coast Range Reserve,Bird,, Sitta pygmaea,,Pygmy nuthatch 
Angelo Coast Range Reserve,Bird,, Sphyrapicus varius,,Yellow-bellied sapsucker 
Angelo Coast Range Reserve,Bird,,Accipiter cooperii,,Cooper's hawk
Angelo Coast Range Reserve,Bird,,Accipiter gentilis ,,Goshawk
Angelo Coast Range Reserve,Bird,,Accipiter striatus,,Sharp-shinned hawk
Angelo Coast Range Reserve,Bird,,Actitis macularia,,Spotted Sandpiper
Angelo Coast Range Reserve,Bird,,Aechmophorus occidentalis,,Western Grebe
Angelo Coast Range Reserve,Bird,,Aegolius acadicus,,Spotted Owl
Angelo Coast Range Reserve,Bird,,Agelaius phoeniceus ,,Red-winged Blackbird
Angelo Coast Range Reserve,Bird,,Aix sponsa,,Wood Duck
Angelo Coast Range Reserve,Bird,,Amphispiza belli,,Sage Sparrow
Angelo Coast Range Reserve,Bird,,Anas platyrhynchos ,,Mallard
Angelo Coast Range Reserve,Bird,,Anthus spinoletta,,Water pipit
Angelo Coast Range Reserve,Bird,,Aphelocoma coerulescens ,,Scrub Jay
Angelo Coast Range Reserve,Bird,,Aquila chrysaetos ,,Golden eagle
Angelo Coast Range Reserve,Bird,,Ardea herodias herodias,,Great Blue Heron
Angelo Coast Range Reserve,Bird,,Bombycilla cedrorum,,Cedar Waxwing
Angelo Coast Range Reserve,Bird,,Branta canadensis,,Canada Goose
Angelo Coast Range Reserve,Bird,,Bubo virginianus,,Great Horned Owl
Angelo Coast Range Reserve,Bird,,Buteo jamaicensis,,Red-tailed hawk
Angelo Coast Range Reserve,Bird,,Buteo lineatus,,Red-shouldered hawk
Angelo Coast Range Reserve,Bird,,Butorides virescens,,Green Heron
Angelo Coast Range Reserve,Bird,,Callipepla californica,,California Quail
Angelo Coast Range Reserve,Bird,,Calypte anna ,,Anna's Hummingbird
Angelo Coast Range Reserve,Bird,,Carduelis pinus,,Pine Siskin
Angelo Coast Range Reserve,Bird,,Carduelis psaltria,,Lesser Goldfinch
Angelo Coast Range Reserve,Bird,,Carduelis tristis,,American Goldfinch
Angelo Coast Range Reserve,Bird,,Carpodacus mexicanus ,,House Finch
Angelo Coast Range Reserve,Bird,,Carpodacus purpureus ,,Purple Finch
Angelo Coast Range Reserve,Bird,,Cathartes aura,,Turkey Vulture
Angelo Coast Range Reserve,Bird,,Catharus guttatus ,,Hermit Thrush
Angelo Coast Range Reserve,Bird,,Catharus ustulatus,,Swainson's thrush
Angelo Coast Range Reserve,Bird,,Certhia americana,,Brown Creeper
Angelo Coast Range Reserve,Bird,,Ceryle alcyon,,Belted Kingfisher
Angelo Coast Range Reserve,Bird,,Chaetura vauxi ,,Vaux's swift
Angelo Coast Range Reserve,Bird,,Chamaea fasciata,,Wrentit
Angelo Coast Range Reserve,Bird,,Charadrius vociferus,,Killdeer
Angelo Coast Range Reserve,Bird,,Chordeiles minor,,Common Nighthawk
Angelo Coast Range Reserve,Bird,,Cinclus,,Dipper
Angelo Coast Range Reserve,Bird,,Colaptes auratus ,,Yellow-shafted Flicker
Angelo Coast Range Reserve,Bird,,Colaptes auratus cafer ,,Red-shafted Flicker
Angelo Coast Range Reserve,Bird,,Columba fasciata,,Band-tailed Pigeon
Angelo Coast Range Reserve,Bird,,Contopus cooperi,,Olive-sided Flycatcher
Angelo Coast Range Reserve,Bird,,Contopus sordidulus,,Western Wood Peewee
Angelo Coast Range Reserve,Bird,,Corvus brachyrhynchos,,Common Crow
Angelo Coast Range Reserve,Bird,,Corvus corax ,,Common Raven
Angelo Coast Range Reserve,Bird,,Cyanocitta stelleri ,,Steller's Jay
Angelo Coast Range Reserve,Bird,,Dendrogapus obscurus,,Blue Grouse
Angelo Coast Range Reserve,Bird,,Dendroica coronata (Eastern form),,Myrtle Warbler
Angelo Coast Range Reserve,Bird,,Dendroica coronata (Western form),,Audubon's Warbler
Angelo Coast Range Reserve,Bird,,Dendroica nigrescens ,,Black throated Gray Warbler
Angelo Coast Range Reserve,Bird,,Dendroica occidentalis,,Hermit Warbler
Angelo Coast Range Reserve,Bird,,Dendroica petechia ,,Yellow Warbler
Angelo Coast Range Reserve,Bird,,Dendroica townsendi ,,Townsend's Warbler
Angelo Coast Range Reserve,Bird,,Dryocopus pileatus,,Pileated Woodpecker
Angelo Coast Range Reserve,Bird,,Elanus leucurus ,,White-tailed Kite
Angelo Coast Range Reserve,Bird,,Empidonax difficilis ,,Western Flycatcher
Angelo Coast Range Reserve,Bird,,Euphagus cyanocephalus,,Brewer's Blackbird
Angelo Coast Range Reserve,Bird,,Falco peregrinus,,Peregrine Falcon
Angelo Coast Range Reserve,Bird,,Falco sparverius,,American Kestrel
Angelo Coast Range Reserve,Bird,,Gallinago gallinago,,Common Snipe
Angelo Coast Range Reserve,Bird,,Glaucidium gnoma ,,Pygmy Owl
Angelo Coast Range Reserve,Bird,,Guiraca caerulea ,,Blue Grosbeak
Angelo Coast Range Reserve,Bird,,Haliaeetus leucocephalus,,Bald eagle
Angelo Coast Range Reserve,Bird,,Hirundo rustica,,Barn Swallow
Angelo Coast Range Reserve,Bird,,Icterus galbula,,Northern Oriole
Angelo Coast Range Reserve,Bird,,Ixoreus naevius ,,Varied Thrush
Angelo Coast Range Reserve,Bird,,Junco hyemalis,,"Dark-eyed ""Oregon"" Junco"
Angelo Coast Range Reserve,Bird,,Lanius ludovicianus,,Loggerhead shrike 
Angelo Coast Range Reserve,Bird,,Larus californicus,,California Gull
Angelo Coast Range Reserve,Bird,,Lophodytes cucullatus,,Hooded Merganser
Angelo Coast Range Reserve,Bird,,Melanerpes formicivorus ,,Acorn Woodpecker
Angelo Coast Range Reserve,Bird,,Melanerpes lewis ,,Lewis' Woodpecker
Angelo Coast Range Reserve,Bird,,Melospiza melodia,,Song Sparrow
Angelo Coast Range Reserve,Bird,,Mergus merganser ,,Common merganser
Angelo Coast Range Reserve,Bird,,Mimus sp.,,Mockingbird
Angelo Coast Range Reserve,Bird,,Molothrus ater,,Brown-headed cowbird
Angelo Coast Range Reserve,Bird,,Myiarchus cinerascens ,,Ash-throated Flycatcher
Angelo Coast Range Reserve,Bird,,Oporornis tolmiei,,MacGillivray's Warbler
Angelo Coast Range Reserve,Bird,,Oreortyx picta,,Mountain Quail
Angelo Coast Range Reserve,Bird,,Otus kennicottii ,,Screech Owl
Angelo Coast Range Reserve,Bird,,Pandion haliaetus,,Osprey
Angelo Coast Range Reserve,Bird,,Parus inornatus,,Plain Titmouse
