Reserve,Reserve count (values),Genus_Species,Family,Genus,Species,ssp./var. designation,ssp./var. name,Division,Reserve count (formula),Synonym,Common Name,"Uncertainties in species ID, noted in original flora",Native/Exotic,Habitat (approx),Bloom Time (approx),,,,,,
Landells-Hill Big Creek,1,Abies bracteata,Pinaceae,Abies,bracteata,,,Gymnosperm,1,,Santa Lucia Fir ,,,,,,,,,,
James San Jacinto Mountains,1,Abies concolor,Pinaceae,Abies,concolor,,,Gymnosperm,1,,,,,,,,,,,,
Valentine,2,Abies concolor,Pinaceae,Abies,concolor,,,Gymnosperm,2,,,,,Sierran Upper Montane Forest,,,,,,,
Valentine,1,Abies magnifica,Pinaceae,Abies,magnifica,var.,magnifica,Gymnosperm,1,,,,,Sierran Upper Montane Forest,,,,,,,
Bodega,1,Abronia latifolia,Nyctaginaceae,Abronia,latifolia,,,Angiosperm,1,,Sand verbena,,native,,,,,,,,
Younger Lagoon,2,Abronia latifolia,Nyctaginaceae,Abronia,latifolia,,,Angiosperm,2,,Yellow Sand Verbena ,,,,,,,,,,
Carpinteria Salt Marsh,1,Abronia maritima,Nyctaginaceae,Abronia,maritima,,,Angiosperms,1,,Sand Verbena    ,,,,,,,,,,
Coal Oil Point,2,Abronia maritima,Nyctaginaceae,Abronia,maritima,,,Angiosperm,2,,Red sand verbena,,,,,,,,,,
Scripps Coastal,3,Abronia maritima,Nyctaginaceae,Abronia,maritima,,,Angiosperm,3,,,,,,,,,,,,
Bodega,1,Abronia umbellata,Nyctaginaceae,Abronia,umbellata,ssp.,umbellata,Angiosperm,1,,Pink sand verbena,,native,,,,,,,,
Carpinteria Salt Marsh,2,Abronia umbellata,Nyctaginaceae,Abronia,umbellata,ssp.,umbellata,Angiosperms,2,,Sand Verbena    ,,,,,,,,,,
Coal Oil Point,3,Abronia umbellata,Nyctaginaceae,Abronia,umbellata,,,Angiosperm,3,,Pink sand verbena,,,,,,,,,,
Younger Lagoon,4,Abronia umbellata,Nyctaginaceae,Abronia,umbellata,,,Angiosperm,4,,Pink Sand Verbena ,,,,,,,,,,
Boyd Deep Canyon,1,Abronia villosa,Nyctaginaceae,Abronia,villosa,var.,villosa,Angiosperm,1,,,,,,,,,,,,
Sweeney Granite Mountains ,2,Abronia villosa,Nyctaginaceae,Abronia,villosa,var.,villosa,Angiosperm,2,,sand verbena,,,,,,,,,,
Hastings,1,Abutilon theophrasti,Malvaceae,Abutilon,theophrasti,,,Angiosperm,1,,,,,,,,,,,,
Jepson Prairie,2,Abutilon theophrasti,Malvaceae,Abutilon,theophrasti,,,Angiosperm,2,,,,,,,,,,,,
San Joaquin Freshwater Marsh,3,Abutilon theophrasti,Malvaceae,Abutilon,theophrasti,,,Angiosperm,3,   ,,,,,,,,,,,
Boyd Deep Canyon,1,Acacia greggii,Fabaceae,Acacia,greggii,,,Angiosperm,1,,,,,,,,,,,,
Burns Pinon Ridge,2,Acacia greggii,Fabaceae,Acacia,greggii,,,Angiosperm,2,,,,,,,,,,,,
Sweeney Granite Mountains ,3,Acacia greggii,Fabaceae,Acacia,greggii,,,Angiosperm,3,,catclaw acacia,,,,,,,,,,
Carpinteria Salt Marsh,1,Acacia longifolia,Fabaceae,Acacia,longifolia,,,Angiosperm,1,,Golden Wattle    ,,,,,,,,,,
Coal Oil Point,2,Acacia longifolia,Fabaceae,Acacia,longifolia,,,Angiosperm,2,,Acacia,,,,,,,,,,
San Joaquin Freshwater Marsh,3,Acacia longifolia,Fabaceae,Acacia,longifolia,,,Angiosperm,3,   ,,,,,,,,,,,
Scripps Coastal,1,Acacia sp.,Fabaceae,Acacia,sp.,,,Angiosperm,1,,,,,,,,,,,,
Younger Lagoon,1,Acaena californica,Rosaceae,Acaena,californica,,,Angiosperm,1,,California Acaena  ,,,,,,,,,,
Bodega,1,Acaena pinnatifida,Rosaceae,Acaena,pinnatifida,var.,californica,Angiosperm,1,,,,native,,,,,,,,
Fort Ord,2,Acaena pinnatifida,Rosaceae,Acaena,pinnatifida,var.,californica,Angiosperm,2,,California acaena,,,,,,,,,,
Boyd Deep Canyon,1,Acamptopappus sphaerocephalus,Asteraceae,Acamptopappus,sphaerocephalus,var.,sphaerocephalus,Angiosperm,1,,,,,,,,,,,,
Sweeney Granite Mountains ,2,Acamptopappus sphaerocephalus,Asteraceae,Acamptopappus,sphaerocephalus,var.,hirtellus,Angiosperm,2,,goldenhead,,,,,,,,,,
Blue Oak Ranch,1,Acanthomintha lanceolata,Lamiaceae,Acanthomintha,lanceolata,,,Angiosperm,1,,,,,,,,,,,,
Angelo Coast Range,1,Acer macrophyllum,Aceraceae  ,Acer,macrophyllum,,,Angiosperm,1,,,,,,,,,,,,
Blue Oak Ranch,2,Acer macrophyllum,Aceraceae  ,Acer,macrophyllum,,,Angiosperm,2,,,,,,,,,,,,
Hastings,3,Acer macrophyllum,Aceraceae  ,Acer,macrophyllum,,,Angiosperm,3,,,,,,,,,,,,
Landells-Hill Big Creek,4,Acer macrophyllum,Aceraceae  ,Acer,macrophyllum,,,Angiosperm,4,,"Big Leaf Maple, Canyon Maple",,,,,,,,,,
McLaughlin,5,Acer macrophyllum,Aceraceae  ,Acer,macrophyllum,,,Angiosperm,5,,,,,,,,,,,,
Quail Ridge,6,Acer macrophyllum,Aceraceae  ,Acer,macrophyllum,,,Angiosperm,6,,Bigleaf maple   ,,,,,,,,,,
Sedgewick,7,Acer macrophyllum,Aceraceae  ,Acer,macrophyllum,,,Angiosperm,7,,,,,,,,,,,,
Stebbins Cold Canyon,8,Acer macrophyllum,Aceraceae  ,Acer,macrophyllum,,,Angiosperm,8,,Bigleaf maple,,,Along streambanks and canyon floors,April-May,,,,,,
Stunt Ranch Santa Monica Mountains,9,Acer macrophyllum,Aceraceae  ,Acer,macrophyllum,,,Angiosperm,9,,,,,,,,,,,,
Boyd Deep Canyon,1,Acer negundo,Aceraceae  ,Acer,negundo,var.,californicum,Angiosperm,1,A. n. ssp.c. ,,,,,,,,,,,
Chickering American River,1,Achillea lanulosa,Asteraceae,Achillea,lanulosa,,,Angiosperm,1,,,,,,,,,,,,
Angelo Coast Range,1,Achillea millefolium,Asteraceae,Achillea,millefolium,,,Angiosperm,1,,,,,,,,,,,,
Blue Oak Ranch,2,Achillea millefolium,Asteraceae,Achillea,millefolium,,,Angiosperm,2,,,,,,,,,,,,
Bodega,3,Achillea millefolium,Asteraceae,Achillea,millefolium,,,Angiosperm,3,,Yarrow,,native,,,,,,,,
Fort Ord,4,Achillea millefolium,Asteraceae,Achillea,millefolium,,,Angiosperm,4,,Common yarrow,,,,,,,,,,
Hastings,5,Achillea millefolium,Asteraceae,Achillea,millefolium,,,Angiosperm,5,,,,,,,,,,,,
James San Jacinto Mountains,6,Achillea millefolium,Asteraceae,Achillea,millefolium,,,Angiosperm,6,,,,,,,,,,,,
Jepson Prairie,7,Achillea millefolium,Asteraceae,Achillea,millefolium,,,Angiosperm,7,,,,,,,,,,,,
Landells-Hill Big Creek,8,Achillea millefolium,Asteraceae,Achillea,millefolium,,,Angiosperm,8,,Common Yarrow ,,,,,,,,,,
McLaughlin,9,Achillea millefolium,Asteraceae,Achillea,millefolium,,,Angiosperm,9,,,,,,,,,,,,
Quail Ridge,10,Achillea millefolium,Asteraceae,Achillea,millefolium,,,Angiosperm,10,,Yarrow    ,,,,,,,,,,
Kenneth S Norris Rancho Marino,11,Achillea millefolium,Asteraceae,Achillea,millefolium,,,Angiosperm,11,,White yarrow,,,,,,,,,,
Sagehen Creek,12,Achillea millefolium,Asteraceae,Achillea,millefolium,,,Angiosperm,12,,,,,,,,,,,,
Sedgewick,13,Achillea millefolium,Asteraceae,Achillea,millefolium,,,Angiosperm,13,,,,,,,,,,,,
SNARL,14,Achillea millefolium,Asteraceae,Achillea,millefolium,,,Angiosperm,14,,,,,see SNARL list (original),,,,,,,
Stebbins Cold Canyon,15,Achillea millefolium,Asteraceae,Achillea,millefolium,,,Angiosperm,15,,Yarrow,,,"Open, grassy areas",March-June,,,,,,
Valentine,16,Achillea millefolium,Asteraceae,Achillea,millefolium,,,Angiosperm,16,,,,,Sagebrush-Meadow Vegetation,,,,,,,
Younger Lagoon,17,Achillea millefolium,Asteraceae,Achillea,millefolium,,,Angiosperm,17,,Yarrow   ,,,,,,,,,,
Angelo Coast Range,1,Achlys tryphylla,Berberidaceae,Achlys,tryphylla,,,Angiosperm,1,,,,,,,,,,,,
Dawson Los Monos Canyon,1,Achnatherum coronatum,Poaceae,Achnatherum,coronatum,,,Angiosperm,1,,,,,,,,,,,,
Elliot Chaparral,2,Achnatherum coronatum,Poaceae,Achnatherum,coronatum,,,Angiosperm,2,,,,,,,,,,,,
Hastings,3,Achnatherum coronatum,Poaceae,Achnatherum,coronatum,,,Angiosperm,3,,,,,,,,,,,,
Landells-Hill Big Creek,4,Achnatherum coronatum,Poaceae,Achnatherum,coronatum,,,Angiosperm,4,Stipa coronata,,Stipa coronata,,,,,,,,,
Motte Rimrock,5,Achnatherum coronatum,Poaceae,Achnatherum,coronatum,,,Angiosperm,5,,Crested Needlegrass ,,,,,,,,,,
Boyd Deep Canyon,1,Achnatherum hymenoides,Poaceae,Achnatherum,hymenoides,,,Angiosperm,1,Oryzopsis h. ,,,,,,,,,,,
Burns Pinon Ridge,2,Achnatherum hymenoides,Poaceae,Achnatherum,hymenoides,,,Angiosperm,2,Oryzopsis h.,,,,,,,,,,,
SNARL,3,Achnatherum hymenoides,Poaceae,Achnatherum,hymenoides,,,Angiosperm,3,,,,,see SNARL list (original),,,,,,,
Sweeney Granite Mountains ,4,Achnatherum hymenoides,Poaceae,Achnatherum,hymenoides,,,Angiosperm,4,Oryzopsis hymenoides,Indian rice grass,,,,,,,,,,
James San Jacinto Mountains,1,Achnatherum latiglumis,Poaceae,Achnatherum,latiglumis,,,Angiosperm,1,,,,,,,,,,,,
Boyd Deep Canyon,1,Achnatherum lettermanii,Poaceae,Achnatherum,lettermanii,,,Angiosperm,1,Stipa l.,,,,,,,,,,,
Sagehen Creek,1,Achnatherum nelsonii,Poaceae,Achnatherum,nelsonii,,,Angiosperm,1,,,,,,,,,,,,
Sagehen Creek,1,Achnatherum nevadense,Poaceae,Achnatherum,nevadense,,,Angiosperm,1,,,,,,,,,,,,
SNARL,1,Achnatherum nevadensis,Poaceae,Achnatherum,nevadensis,,,Angiosperm,1,,,,,see SNARL list (original),,,,,,,
Boyd Deep Canyon,1,Achnatherum occidentale,Poaceae,Achnatherum,occidentale,ssp.,pubescens,Angiosperm,1,Stipa elmeri ,,,,,,,,,,,
Elliot Chaparral,2,Achnatherum occidentale,Poaceae,Achnatherum,occidentale,,,Angiosperm,2,,,,,,,,,,,,
Sagehen Creek,3,Achnatherum occidentale,Poaceae,Achnatherum,occidentale,,,Angiosperm,3,,,,,,,,,,,,
Valentine,4,Achnatherum occidentale,Poaceae,Achnatherum,occidentale,ssp.,occidentalis,Angiosperm,4,,,,,Great Basin Sagebrush Vegetation,,,,,,,
